Date,close
2022-07-01,1.2160863876342773
2022-07-04,1.2102727890014648
2022-07-05,1.211445689201355
2022-07-06,1.19491446018219
2022-07-07,1.1923214197158813
2022-07-08,1.2028049230575562
2022-07-11,1.2016630172729492
2022-07-12,1.1900936365127563
2022-07-13,1.1877753734588623
2022-07-14,1.186380386352539
2022-07-15,1.1839643716812134
2022-07-18,1.1888344287872314
2022-07-19,1.194828748703003
2022-07-20,1.2003505229949951
2022-07-21,1.1971746683120728
2022-07-22,1.1996161937713623
2022-07-25,1.1986957788467407
2022-07-26,1.2055164575576782
2022-07-27,1.2036880254745483
2022-07-28,1.2163082361221313
2022-07-29,1.2173447608947754
